,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,Karratha,0,AU,1604380326,27,-20.74,116.85,88.95,13.65
274,Bethanien,37,NA,1604380329,40,-26.5,17.16,68.5,3.29
277,Cap Malheureux,46,MU,1604380332,58,-19.98,57.61,78.01,8.99
279,San Luis,58,AR,1604380286,28,-33.3,-66.34,70.41,15.05
283,Namatanai,68,PG,1604380340,74,-3.67,152.43,83.55,4.63
284,Chui,0,UY,1604380341,91,-33.7,-53.46,55.4,5.32
287,Lufilufi,75,WS,1604380345,70,-13.87,-171.6,89.6,10.29
288,Payakumbuh,100,ID,1604380346,79,-0.22,100.63,77.38,1.74
289,Wanaka,63,NZ,1604380094,46,-44.7,169.15,63.54,1.3
293,Kaoma,29,ZM,1604380352,41,-14.78,24.8,75.4,9.37
295,Buala,100,SB,1604380355,90,-8.14,159.59,76.66,1.39
298,Caldas Novas,6,BR,1604380359,74,-17.74,-48.62,64.06,1.92
303,Yeppoon,75,AU,1604380268,48,-23.13,150.73,82.4,10.29
310,Ambilobe,0,MG,1604380374,42,-13.2,49.05,82.81,6.29
314,Mpongwe,20,ZM,1604380379,71,-13.51,28.16,68.95,5.48
315,Henties Bay,3,NA,1604380381,89,-22.12,14.28,57.99,4.72
317,Fare,3,PF,1604380383,79,-16.7,-151.02,80.49,17.56
318,Kaeo,100,NZ,1604380384,87,-35.1,173.78,69.01,8.99
322,Tual,98,ID,1604380390,75,-5.67,132.75,81.97,6.24
324,Faanui,9,PF,1604380392,79,-16.48,-151.75,80.11,18.16
325,Antalaha,66,MG,1604380393,72,-14.9,50.28,75.69,6.06
329,Mackay,40,AU,1604380398,58,-21.15,149.2,84.2,17.22
330,Flinders,0,AU,1604380400,60,-34.58,150.86,73.99,4.0
335,Conde,40,BR,1604380202,88,-7.26,-34.91,77.0,1.12
337,Pisco,90,PE,1604380408,82,-13.7,-76.22,64.99,13.87
348,Voh,100,NC,1604380423,60,-20.97,164.7,81.32,5.26
354,Mount Isa,5,AU,1604380431,9,-20.73,139.5,102.2,8.05
357,Necochea,0,AR,1604380435,85,-38.55,-58.74,55.0,7.0
362,Vangaindrano,94,MG,1604380441,75,-23.35,47.6,71.94,6.15
365,Vanimo,100,PG,1604380445,74,-2.67,141.3,85.66,8.77
370,Santa Cruz de la Sierra,20,BO,1604380451,60,-17.8,-63.17,69.8,6.93
372,Blackwater,26,AU,1604380438,35,-23.58,148.88,85.86,8.32
374,Ahipara,100,NZ,1604380456,91,-35.17,173.17,63.93,13.09
378,Luanda,75,AO,1604380462,88,-8.84,13.23,77.0,3.36
381,Xai-Xai,0,MZ,1604380465,69,-25.05,33.64,74.79,5.46
383,Santo Antônio do Amparo,6,BR,1604380468,91,-20.95,-44.92,54.72,11.52
396,Nelspruit,0,ZA,1604380485,77,-25.47,30.97,68.0,1.12
397,Saint-Pierre,90,RE,1604380486,50,-21.34,55.48,78.8,19.46
